ukprn,provider,postcode,lad_code,lad_name,msoa_code,lsoa_code,region,ttwa_code,ttwa_name,year,rent_all,rent_2bed,house_price,ttwa_rent,ttwa_hp,nat_rent_all,nat_house_price,cpih,cost_index_rent,cost_index_hp,infl_factor,rent_factor,hp_factor,rent_factor_ttwa,hp_factor_ttwa,real_value_cpih_gbp,real_value_rent_gbp,real_value_hp_gbp,real_value_rent_ttwa_gbp,real_value_hp_ttwa_gbp
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2025,1331.25,1101.25,249997.66666666666,1219.4366555617248,296851.34901906346,1399.8333333333333,289432.0833333333,138,0.9510060721514466,0.8637524347248995,0.7888888888888889,0.45264475743348986,0.5951702215887348,0.4973199301113558,0.4810294805861853,3944,2263,2976,2487,2405
10007155,University of Portsmouth,PO1 2UP,E06000044,Portsmouth,E02003541,E01017132,South East,E30000254,Portsmouth,2026,1355.8,1123,247683.25,1248.4066629650194,296392.97431982233,1433.4,290340.25,140.82,0.9458629831170642,0.8530792750918965,0.7730909435212802,0.44444854206618484,0.6007316468379136,0.4857793300132164,0.4817733974890599,3865,2222,3004,2429,2409
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2020,783.5833333333334,731.6666666666666,158147.08333333334,715.7041480973603,181687.02681598294,1070.5,239383.33333333334,108.86666666666666,0.7319788260937257,0.6606436677574323,1,0.7690098904604914,0.9408404096397603,0.8473475442770305,0.7859353126768593,5000,3845,4704,4237,3930
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2021,799.4166666666666,744.25,191448.25,739.6718565497276,205064.70256732564,1084.1666666666667,257885.25,111.60833333333333,0.7373558800922366,0.742377666035572,0.9754349286940939,0.753778797039508,0.7771873948530041,0.8198908028595666,0.6963375385535554,4877,3769,3886,4099,3482
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2022,851.25,789.5833333333334,212697.91666666666,789.0303203443416,227193.9966289567,1129.25,281827.6666666667,120.45,0.7538189063537746,0.754709142584771,0.9038328490383284,0.7078805677924621,0.6995421910965277,0.7686018352938843,0.6285124270389671,4519,3539,3498,3843,3143
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2023,936.9166666666666,867.6666666666666,211214.83333333334,855.9983430465089,231005.51191292424,1210.4166666666667,282333.5,128.63333333333333,0.7740447504302925,0.7481040448028071,0.8463332469551698,0.6431557413501735,0.704454153709217,0.7084711754941238,0.6181421778532007,4232,3216,3522,3542,3091
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2024,1047.9166666666667,970.3333333333334,216767.91666666666,948.5085514036492,237339.2228316764,1316.0833333333333,282734.5,132.84166666666667,0.7962388399924017,0.7666836437246486,0.819521987328273,0.5750298210735586,0.6864076979411544,0.6393723614001454,0.6016462366661568,4098,2875,3432,3197,3008
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2025,1125.25,1043.9166666666667,230373.41666666666,1024.361644383499,247621.7908334286,1399.8333333333333,289432.0833333333,138,0.8038456959161805,0.7959498270319606,0.7888888888888889,0.5355106272680146,0.6458695140245131,0.592027391541166,0.5766626989867948,3944,2678,3229,2960,2883
10007156,University of Salford,M5 4WT,E08000006,Salford,E02006960,E01033991,North West,E30000239,Manchester,2026,1161.6,1077.8,227394.5,1065.8497543137926,251232.41735230258,1433.4,290340.25,140.82,0.8103809125156969,0.7832000557966041,0.7730909435212802,0.5187528696051424,0.6543305430283787,0.5689827762916009,0.5683750995784452,3865,2594,3272,2845,2842
10007157,University of Sheffield,S10 2TN,E08000039,Sheffield,E02001636,E01008068,Yorkshire and The Humber,NA,NA,2020,675.6666666666666,612.5833333333334,165564.08333333334,675.6666666666666,165564.08333333334,1070.5,239383.33333333334,108.86666666666666,0.6311692355597073,0.6916274455197382,1,0.8918352244696597,0.8986922989033953,0.8975581928749616,0.8624711794674579,5000,4459,4493,4488,4312
